temp_bkrm_space_dept_clas.bkrm_loc_item_oh_d,temp_bkrm_space_dept_clas.co_loc_ref_i,temp_bkrm_space_dept_clas.dept,temp_bkrm_space_dept_clas.class,temp_bkrm_space_dept_clas.cubic_vol
9/17/16,1375,204,6,52566.6129
9/18/16,1375,204,6,52461.0129
9/19/16,1375,204,6,52461.0129
9/20/16,1375,204,6,52461.0129
9/21/16,1375,204,6,52461.0129
9/22/16,1375,204,6,46689.15853
9/23/16,1375,204,6,46215.34603
9/24/16,1375,204,6,46215.34603
9/25/16,1375,204,6,37928.71953
9/26/16,1375,204,6,36956.71953
9/27/16,1375,204,6,37928.71953
9/28/16,1375,204,6,37259.94353
9/29/16,1375,204,6,44148.68353
9/30/16,1375,204,6,46637.03853
10/1/16,1375,204,6,46413.03853
10/2/16,1375,204,6,46413.03853
10/3/16,1375,204,6,48530.22213
10/4/16,1375,204,6,45147.72213
10/5/16,1375,204,6,53078.72509
10/6/16,1375,204,6,44944.97019
10/7/16,1375,204,6,42540.12651
10/8/16,1375,204,6,53279.31639
10/9/16,1375,204,6,50591.95089
10/10/16,1375,204,6,50591.95089
10/11/16,1375,204,6,50591.95089
10/12/16,1375,204,6,314727.9149
10/13/16,1375,204,6,330636.9265
10/14/16,1375,204,6,431139.9265
10/15/16,1375,204,6,429536.713
10/16/16,1375,204,6,436102.9706
10/17/16,1375,204,6,436259.3706
10/18/16,1375,204,6,432760.1572
10/19/16,1375,204,6,437770.0852
10/20/16,1375,204,6,441326.1042
10/21/16,1375,204,6,439271.6292
10/22/16,1375,204,6,443708.3072
10/23/16,1375,204,6,443708.3072
10/24/16,1375,204,6,443708.3072
10/25/16,1375,204,6,435584.9362
10/26/16,1375,204,6,435134.2182
10/27/16,1375,204,6,434515.4182
10/28/16,1375,204,6,439868.9822
10/29/16,1375,204,6,439790.7822
10/30/16,1375,204,6,438740.5822
10/31/16,1375,204,6,438516.5822
11/1/16,1375,204,6,368775.5822
11/2/16,1375,204,6,399002.8821
11/3/16,1375,204,6,400160.0213
11/4/16,1375,204,6,398563.2793
11/5/16,1375,204,6,398476.5198
11/6/16,1375,204,6,395094.0198
11/7/16,1375,204,6,394870.0198
11/8/16,1375,204,6,400882.4253
11/9/16,1375,204,6,400776.8253
11/10/16,1375,204,6,396992.3938
11/11/16,1375,204,6,403757.3938
11/12/16,1375,204,6,403757.3938
11/13/16,1375,204,6,413764.3188
11/14/16,1375,204,6,411557.3388
11/15/16,1375,204,6,420278.2
11/16/16,1375,204,6,425901.772
11/17/16,1375,204,6,415584.634
11/18/16,1375,204,6,413870.7215
11/19/16,1375,204,6,410924.6986
11/20/16,1375,204,6,407527.3903
11/21/16,1375,204,6,409503.357
11/22/16,1375,204,6,400640.5507
11/23/16,1375,204,6,405759.6406
11/24/16,1375,204,6,403482.6886
11/25/16,1375,204,6,412158.6886
11/26/16,1375,204,6,406040.204
11/27/16,1375,204,6,414082.829
11/28/16,1375,204,6,442633.9491
11/29/16,1375,204,6,449549.7281
11/30/16,1375,204,6,477198.3775
12/1/16,1375,204,6,475714.5108
12/2/16,1375,204,6,503913.8816
12/3/16,1375,204,6,503095.7136
12/4/16,1375,204,6,482633.9822
12/5/16,1375,204,6,494007.9132
12/6/16,1375,204,6,500399.4905
12/7/16,1375,204,6,488943.5227
12/8/16,1375,204,6,492666.788
12/9/16,1375,204,6,492329.8419
12/10/16,1375,204,6,480107.2629
12/11/16,1375,204,6,523001.5065
12/12/16,1375,204,6,526726.4427
12/13/16,1375,204,6,559245.2612
12/14/16,1375,204,6,567087.7918
12/15/16,1375,204,6,567039.2533
12/16/16,1375,204,6,228518.9125
12/17/16,1375,204,6,228558.5402
12/18/16,1375,204,6,222683.5047
12/19/16,1375,204,6,216795.7888
12/20/16,1375,204,6,314659.8738
12/21/16,1375,204,6,306107.6281
12/22/16,1375,204,6,161690.9978
12/23/16,1375,204,6,118604.8602
12/24/16,1375,204,6,129150.4755
12/25/16,1375,204,6,153835.4965
12/26/16,1375,204,6,152004.559
12/27/16,1375,204,6,143580.559
12/28/16,1375,204,6,143580.559
12/29/16,1375,204,6,145954.057
12/30/16,1375,204,6,59707.46302
12/31/16,1375,204,6,58906.18402
1/1/17,1375,204,6,57184.93402
1/2/17,1375,204,6,62796.64557
1/3/17,1375,204,6,62796.64557
1/4/17,1375,204,6,62796.64557
1/5/17,1375,204,6,62796.64557
1/6/17,1375,204,6,63956.64557
1/7/17,1375,204,6,63956.64557
1/8/17,1375,204,6,63956.64557
1/9/17,1375,204,6,66452.69297
1/10/17,1375,204,6,66452.69297
1/11/17,1375,204,6,67003.26697
1/12/17,1375,204,6,58110.78469
1/13/17,1375,204,6,61285.98469
1/14/17,1375,204,6,19256.01869
1/15/17,1375,204,6,25581.58269
1/16/17,1375,204,6,23799.98269
1/17/17,1375,204,6,23799.98269
1/18/17,1375,204,6,25473.61417
1/19/17,1375,204,6,14400.88194
1/20/17,1375,204,6,20726.44594
1/21/17,1375,204,6,20726.44594
1/22/17,1375,204,6,27491.44594
1/23/17,1375,204,6,21165.88194
1/24/17,1375,204,6,35377.30594
1/25/17,1375,204,6,36826.30594
1/26/17,1375,204,6,30000.74194
1/27/17,1375,204,6,30857.16994
1/28/17,1375,204,6,42440.16994
1/29/17,1375,204,6,40609.23244
1/30/17,1375,204,6,40609.23244
1/31/17,1375,204,6,104817.0206
2/1/17,1375,204,6,104169.9706
2/2/17,1375,204,6,101218.3738
2/3/17,1375,204,6,62518.3738
2/4/17,1375,204,6,74815.3738
2/5/17,1375,204,6,120983.5197
2/6/17,1375,204,6,64163.51973
2/7/17,1375,204,6,125163.0197
2/8/17,1375,204,6,184678.5837
2/9/17,1375,204,6,60137.58373
2/10/17,1375,204,6,56549.55333
2/11/17,1375,204,6,55849.55333
2/12/17,1375,204,6,55849.55333
2/13/17,1375,204,6,55849.55333
2/14/17,1375,204,6,63705.31633
2/15/17,1375,204,6,69344.05133
2/16/17,1375,204,6,38217.10633
2/17/17,1375,204,6,48986.18933
2/18/17,1375,204,6,49543.06433
2/19/17,1375,204,6,50201.76933
2/20/17,1375,204,6,53906.76933
2/21/17,1375,204,6,53907.76933
2/22/17,1375,204,6,54010.58533
2/23/17,1375,204,6,54258.08533
2/24/17,1375,204,6,54258.08533
2/25/17,1375,204,6,55788.07433
2/26/17,1375,204,6,56194.62333
2/27/17,1375,204,6,55338.19533
2/28/17,1375,204,6,41588.474
3/1/17,1375,204,6,41588.474
3/2/17,1375,204,6,41588.474
3/3/17,1375,204,6,42165.47335
3/4/17,1375,204,6,41917.97335
3/5/17,1375,204,6,41839.77335
3/6/17,1375,204,6,39883.29755
3/7/17,1375,204,6,47247.61385
3/8/17,1375,204,6,45791.16515
3/9/17,1375,204,6,45685.56515
3/10/17,1375,204,6,44424.69015
3/11/17,1375,204,6,43604.55515
3/12/17,1375,204,6,55187.55515
3/13/17,1375,204,6,43604.55515
3/14/17,1375,204,6,49583.22663
3/15/17,1375,204,6,48272.39163
